,country,avg_rating
0,Oman,10.0
1,Dominican Republic,10.0
2,Ecuador,9.0
3,Costa Rica,9.0
4,Slovakia,7.333333333333333
5,Japan,6.5
6,Greece,6.4
7,Norway,6.0
8,Turkey,6.0
9,Denmark,5.928571428571429
10,United Arab Emirates,5.695652173913044
11,Taiwan,5.666666666666667
12,Thailand,5.6521739130434785
13,Qatar,5.571428571428571
14,Botswana,5.5
15,Ukraine,5.5
16,Saudi Arabia,5.444444444444445
17,Cyprus,5.333333333333333
18,Ireland,5.2926829268292686
19,Ghana,5.285714285714286
20,India,5.2105263157894735
21,Poland,5.125
22,Spain,5.1
23,Laos,5.0
24,Lebanon,5.0
25,South Korea,5.0
26,Trinidad & Tobago,5.0
27,Austria,5.0
28,China,4.833333333333333
29,New Zealand,4.833333333333333
30,Argentina,4.833333333333333
31,United Kingdom,4.757916666666667
32,Netherlands,4.694444444444445
33,Russian Federation,4.666666666666667
34,Bulgaria,4.666666666666667
35,Canada,4.650406504065041
36,Australia,4.619631901840491
37,France,4.592592592592593
38,Germany,4.537313432835821
39,Kuwait,4.5
40,Finland,4.5
41,Belgium,4.481481481481482
42,United States,4.473804100227791
43,Switzerland,4.461538461538462
44,South Africa,4.439024390243903
45,Malaysia,4.428571428571429
46,Singapore,4.1
47,Brazil,3.75
48,Italy,3.7083333333333335
49,Sweden,3.7
50,Iceland,3.6
51,Portugal,3.5833333333333335
52,Czech Republic,3.4
53,Mexico,3.375
54,Nigeria,3.3333333333333335
55,Barbados,3.0
56,Bahrain,3.0
57,Vietnam,3.0
58,Israel,3.0
59,Hong Kong,2.9375
60,Luxembourg,2.5
61,Chile,2.0
62,Cayman Islands,2.0
63,Philippines,2.0
64,Hungary,1.5
65,Bermuda,1.5
66,Saint Kitts and Nevis,1.0
67,Egypt,1.0
68,Romania,1.0
69,Indonesia,1.0
70,Panama,1.0
71,Jordan,1.0
72,Senegal,1.0
