,reviews,stars,date,country,verified,corpus,polarity,label,recommendation
0,"Not Verified | Before my flight, I was forced by the ground staff to check in my new, expensive cabin luggage, despite the fact that it met all size requirements. I was informed that the plane was full and assured by staff that my luggage would be well taken care of. Unfortunately when my bag was returned to me, it was scratched and damaged. This is completely unacceptable, especially given the assurances I received. When I lodged a complaint, it fell on deaf ears, there has been no acknowledgment or resolution from British Airways. The funny thing is that the overhead lockers were empty! This experience has been extremely frustrating and disappointing. The lack of care for both customer property and customer service is glaring.",2.0,2024-08-15,United Kingdom,False,verified flight forced ground staff check new expensive cabin luggage despite fact met size requirement informed plane full assured staff luggage would well taken care unfortunately bag returned scratched damaged completely unacceptable especially given assurance received lodged complaint fell deaf ear acknowledgment resolution british airway funny thing overhead locker empty experience extremely frustrating disappointing lack care customer property customer service glaring,-0.14335664335664336,Negative,Not Recommended
1,✅ Trip Verified |   British Airways at its best. Outstanding service from the flight attendants. Dinner very good though breakfast could be better. Excellent IFE. The lie flat seat is extremely comfortable. A very pleasant flight on board an A350.,1.0,2024-08-12,United Kingdom,True,british airway best outstanding service flight attendant dinner good though breakfast could better excellent ife lie flat seat extremely comfortable pleasant flight board,0.5008333333333334,Positive,Not Recommended
2,"✅ Trip Verified |   My family and I were booked to leave London for Hong Kong on 2 August. After having been made to wait at the airport for 3.5 hours, we were told at midnight that our aircraft had bee struck by lightning and our flight was cancelled. Everyone was sent home (we had to scramble to find transportation) and were told to wait for re-routing information. We were booked to travel two days later to HK via the Middle East with an 8-hour stopover. Needless to say we refused this flight. The worst trick by BA is that all our original flight booking references were deleted from their system and we can therefore not apply for compensation of any of our additional transportation, hotel and meal costs.  I cannot find the words to express my anger. Not as much as an apology has been received! ",3.0,2024-08-09,United Kingdom,True,family booked leave london hong kong august made wait airport hour told midnight aircraft bee struck lightning flight cancelled everyone sent home scramble find transportation told wait routing information booked travel two day later hk via middle east hour stopover needle say refused flight worst trick ba original flight booking reference deleted system therefore apply compensation additional transportation hotel meal cost cannot find word express anger much apology received,-0.1875,Negative,Not Recommended
3,"✅ Trip Verified |   Crew were amazing and attentive, nothing was missed out by them. Will definitely choose BA in the future. Also have to praise the food. The choice was sufficient and delicious for a short business flight",8.0,2024-08-07,United Kingdom,True,crew amazing attentive nothing missed definitely choose ba future also praise food choice sufficient delicious short business flight,0.3333333333333333,Positive,Recommended
4,"✅ Trip Verified | Flight cancelled due to bad weather, BA contacted me by email immediately and provided an alternative booking as well as a link if their suggestion for a different flight wasn't convenient. Clicked on the link and was assisted promptly by a service rep who rebooked me and sent all details within a few minutes. Great customer service from BA....well done.",1.0,2024-08-02,United Kingdom,True,flight cancelled due bad weather ba contacted email immediately provided alternative booking well link suggestion different flight convenient clicked link assisted promptly service rep rebooked sent detail within minute great customer service ba well done,-0.00624999999999995,Neutral,Not Recommended
5,"✅ Trip Verified |  I travelled London to Doha on July 16th, I had to physically check in at BA Business T5 because I had an ongoing connection in Doha and the flight was a code share with Qatar. I had paid for my flight through Qatar and paid for the seat online so I could sit where I like to sit and when I got to check in discovered I had been reseated elsewhere in the cabin and was told that was their policy and basically to shut up about it. I then discovered that BA do not recognise Qatar frequent flyer rules despite sharing Avios points. I'm a Gold card holder in Qatar which affords me extra kilos on the baggage but BA tried to tell me I had to pay. After some arguing eventually they accepted it! The Lounge was packed, staff less than helpful when I tried to get some answers on my seat reassignment, I was told I would get my money back - no chance of that so don't even try. The flight boarded by bus, the journey took 15 minutes to get from terminal to aircraft which I am guessing was at another terminal because it took so long to get there. Why not board us through that terminal rather than drag us all over the airport? Finally got onto the plane, BA staff are not friendly, it's no wonder they are ranked 13th, I now realise it's a privilege being allowed to step onto a BA flight and it departed 90+ minutes late. Myself and many other travellers had connections and this meant I was either going to miss the connection or I would manage to make the connection but my luggage wouldn't. Would BA flight crew help me on board to figure out the connection? they eventually came to tell me me in their haughty attitude, ""We are now landing 15 minutes earlier so that give you a full 50 minutes to make your connection"" Landing early does not mean getting to the gate earlier, it usually takes at least 10 minutes from landing to gate, then another 7 for the jetway to be attached and if you are lucky to be sitting near the door straight off, if not 20 minutes to disembark, if you want to be helpful don't say stupid things to people who are frequent travellers! As it turned out I was sitting near the door and had to run off the plane, Qatar were there to assist but I did have to run from the A gates all the way to C gates to make my connection, not a short distance for a 70+ year old and the luggage did not make it. Many others were not as fortunate and didn't make their connections. Why put a page in the flight entertainment for connections if you are not going to provide the information, it's public information you can look it up on line, so the aircraft has access to WiFi and satellite communication so I fail to understand why this information cannot be captured and displayed? I complained to BA got a wishy washy email with a number of excuses in it, no mention of the seat refund. I got a paltry voucher that I'm supposed to use on another BA flight - who are they kidding I am not sure I want to experience that again. However I have recently discovered that of my frequently travelled to destinations is really only serviced by BA if I want to fly at a reasonable hour of the day or go all over Europe just to avoid them which is too expensive. I consider them one of the worst airlines I have ever flown and getting worse by the minute. Fly them only if you absolutely have to and good luck.",1.0,2024-07-30,United Kingdom,True,travelled london doha july th physically check ba business ongoing connection doha flight code share qatar paid flight qatar paid seat online could sit like sit got check discovered reseated elsewhere cabin told policy basically shut discovered ba recognise qatar frequent flyer rule despite sharing avios point gold card holder qatar affords extra kilo baggage ba tried tell pay arguing eventually accepted lounge packed staff le helpful tried get answer seat reassignment told would get money back chance even try flight boarded bus journey took minute get terminal aircraft guessing another terminal took long get board u terminal rather drag u airport finally got onto plane ba staff friendly wonder ranked th realise privilege allowed step onto ba flight departed minute late many traveller connection meant either going miss connection would manage make connection luggage would ba flight crew help board figure connection eventually came tell haughty attitude landing minute earlier give full minute make connection landing early mean getting gate earlier usually take least minute landing gate another jetway attached lucky sitting near door straight minute disembark want helpful say stupid thing people frequent traveller turned sitting near door run plane qatar assist run gate way c gate make connection short distance year old luggage make many others fortunate make connection put page flight entertainment connection going provide information public information look line aircraft access wifi satellite communication fail understand information cannot captured displayed complained ba got wishy washy email number excuse mention seat refund got paltry voucher supposed use another ba flight kidding sure want experience however recently discovered frequently travelled destination really serviced ba want fly reasonable hour day go europe avoid expensive consider one worst airline ever flown getting worse minute fly absolutely good luck,0.040376984126984136,Positive,Not Recommended
6,"✅ Trip Verified |  When dropping off my luggage at the luggage drop off at Toulouse airport, I had my travel pram confiscated from me and I was forced to take my sleeping 2 year old in my arms while traveling alone with him at 5.30am. I was told by the staff outsourced by British Airways to check in passengers that only yoyo prams were accepted on board. I corrected her that it was ""yoyo type"" prams but she contested and told me that only yoyo prams would be allowed and if I insisted to keep my sleeping 2-year-old in his pram I would not be permitted to board the flight to London. This happened to 2 other families and we were forced to go to the oversized baggage area of the airport. To clarify my pram is the Silver Cross Jet stroller pushchair which I specifically purchased as it is conform to the British Airways specifications. I was then required to carry my toddler for 30 mins through security, and then again for another 40 mins while waiting to board the plane (I was ""allowed"" early boarding only to be moved from my seat to stand on the other side of the staff with no more options to sit down). At Heathrow, I was then required to carry my toddler again for approx. 40 mins to go through passport check and luggage claim (as mentioned previously, I was traveling alone with my child with no other support). All this, despite purchasing a very expensive pram to fit to your requirements and coming to the airport prepared with this pram. I'm sure you agree this is unacceptable and it is illegal to force passengers to purchase a specific brand of products in order to be able to keep their child in their travel pram.  In addition to this, once on the plane, I installed my Kids Fly Safe Cares Child Airplane Safety Harness for my son. The cabin crew then proceeded to tell me this was not allowed. I had to go on the website to show them that this was incorrect and I was in fact within my rights. Then, for landing, the crew had the gall to tell me to put the harness on my son and that it was mandatory to which I asked, if it was mandatory why did I bring the harness myself. British Airways is the most discriminatory airline for parents traveling with children and this needs to change. My advice; don't treat a mom traveling alone at 5am with a sleeping toddler like rubbish, and don't confiscate her travel pram that is within regulation forcing her to have the worst travel experience possible.",3.0,2024-07-28,United Kingdom,True,dropping luggage luggage drop toulouse airport travel pram confiscated forced take sleeping year old arm traveling alone told staff outsourced british airway check passenger yoyo pram accepted board corrected yoyo type pram contested told yoyo pram would allowed insisted keep sleeping year old pram would permitted board flight london happened family forced go oversized baggage area airport clarify pram silver cross jet stroller pushchair specifically purchased conform british airway specification required carry toddler min security another min waiting board plane allowed early boarding moved seat stand side staff option sit heathrow required carry toddler approx min go passport check luggage claim mentioned previously traveling alone child support despite purchasing expensive pram fit requirement coming airport prepared pram sure agree unacceptable illegal force passenger purchase specific brand product order able keep child travel pram addition plane installed kid fly safe care child airplane safety harness son cabin crew proceeded tell allowed go website show incorrect fact within right landing crew gall tell put harness son mandatory asked mandatory bring harness british airway discriminatory airline parent traveling child need change advice treat mom traveling alone sleeping toddler like rubbish confiscate travel pram within regulation forcing worst travel experience possible,0.024716553287981856,Positive,Not Recommended
7,Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,1.0,2024-07-15,United Kingdom,False,verified reported damaged ruined suitcase week ago still awaiting reply think twice booking ba customer service shocking say least followed british airway least email per week requesting update joy far,-0.11666666666666668,Negative,Not Recommended
8,"Not Verified | The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution. ",1.0,2024-07-05,United Kingdom,False,verified worst customer experience british airway ba effectively robbing people help show compassion partner fell ill doctor note stating fly ba said hold flight amount voucher valid year fair enough caveat stated u must call usable holiday package however using voucher nightmare use ticket original long haul refuse refund half amount ba customer service awful rude effectively stealing u policy must stop feel held hostage solution,0.00448717948717948,Negative,Not Recommended
9,"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",1.0,2024-06-30,United Kingdom,True,flight cancelled reason given le h departure earliest offered replacement terrible use app day later unacceptable phone line work would reject call due overwhelmed even submitting claim website frustrating due terrible interface overall terrible company wholly inadequate customer service,-0.45625,Negative,Not Recommended
